Order number,Line Number,Item,Vend Cat No,Order Qty,Unit Price,Inv Uom
N298589,6,770487,902-0000-30,4,103.62,EA
N298589,7,216739,802-3000-00,2,145.20,EA
N298589,8,126225,802-3600-00,1,176.88,EA
N298589,9,877572,802-0030-51,4,148.50,EA
N298589,10,388389,AH201119-137,1,4455.00,EA
N298589,11,356787,802-0030-51,4,148.50,EA
N298589,12,334053,802-4800-00,1,280.50,EA
N298589,13,246316,AH201119-239,1,2600.40,EA
N298589,14,872246,802-3600-00,1,176.88,EA
N298589,15,207473,802-6000-00,1,302.28,EA
N298589,16,809570,802-7200-00,2,364.80,EA
N298589,17,876646,902-0000-36,3,124.80,EA
N298589,18,671858,802-0036-51,4,162.40,EA
N298589,19,191161,AH201119-312,1,3180.00,EA
N298589,20,719176,902-1200-00,2,218.40,EA
N298589,21,542417,802-9600-00,1,448.20,EA
N298589,22,133326,802-0048-51,2,188.60,EA
N298589,23,131244,AH201119-445,1,5640.00,EA
N298589,24,198246,802-3000-00,3,145.20,EA
N298589,25,329258,802-4800-00,2,280.50,EA
N298589,26,343962,902-0000-30,6,103.62,EA
N298589,27,629903,AH201119-518,1,2980.60,EA
N298589,28,731262,802-3600-00,2,176.88,EA
N298589,29,127824,802-0030-51,3,148.50,EA
N298589,30,688508,802-7200-00,1,364.80,EA
N298589,31,308496,AH201119-624,1,4820.00,EA
N325800,1,850800,1000288,24,7.51,EA
N325800,2,781453,1001344,96,5.33,EA
N325800,3,835392,1003104,100,7.77,EA
N325800,4,671412,1003220,100,7.75,EA
N325800,5,539898,1003307,120,7.37,EA
N325800,6,331148,1003995,120,7.40,EA
N325800,7,571029,1004535,8,7.27,EA
N325800,8,717889,1004546,96,7.30,EA
N325800,9,391704,1006131,40,7.81,EA
N325800,10,948749,1006245,8,7.52,EA
N325800,11,106814,1006330,96,7.63,EA
N325800,12,895667,1006331,8,7.84,EA
N325800,13,944962,1010010,120,7.20,EA
N325800,14,267414,1010035,12,7.29,EA
N325800,15,832052,1010171,60,6.93,EA
N325800,16,543143,1010172,12,6.98,EA
N325800,17,456778,1020001,8,9.40,EA
N325800,18,391369,1020002,120,9.61,EA
N325800,19,263032,1020006,96,9.43,EA
N325800,20,325772,1021000,24,9.56,EA
N325800,21,900581,1030010,100,19.45,EA
N325800,22,452944,1030020,40,18.26,EA
N325800,23,207175,1030030,40,18.46,EA
N325800,24,197251,1040100,12,8.15,EA
N325800,25,498382,1040200,100,8.44,EA
N325800,26,201414,1050010,96,13.86,EA
N325800,27,476417,1050020,24,14.64,EA
N325800,28,988662,1060050,96,6.69,EA
N325800,29,460663,1060100,100,9.60,EA
N325800,30,733052,1070010,60,3.33,EA
N325800,31,377370,1070020,96,3.14,EA
N325800,32,946335,1080001,12,4.67,EA
N325800,33,145561,1080005,100,2.02,EA
N325800,34,865179,1090010,12,4.62,EA
N325800,35,581741,1090020,120,4.50,EA
N325800,36,662275,1100100,60,6.23,EA
N325800,37,230889,1100200,12,6.04,EA
N325800,38,496922,1100300,24,6.26,EA
N325800,39,182627,1110010,60,4.74,EA
N325800,40,678856,1110020,48,4.70,EA
N325800,41,407419,1000288,24,7.30,EA
N325800,42,969693,1001344,24,5.39,EA
N325800,43,759176,1003104,60,7.35,EA
N325800,44,748564,1003220,8,7.67,EA
N325800,45,479201,1003307,40,7.50,EA
N325800,46,705397,1003995,24,7.84,EA
N325800,47,301629,1004535,8,7.79,EA
N325800,48,838797,1004546,100,7.56,EA
N325800,49,172933,1006131,40,7.82,EA
N325800,50,148050,1006245,40,7.36,EA
N325800,51,793384,1006330,12,7.52,EA
N325800,52,338968,1006331,96,7.73,EA
N325800,53,910620,1010010,100,6.95,EA
N325800,54,403445,1010035,48,6.94,EA
N325800,55,183667,1010171,48,7.29,EA
N325800,56,996865,1010172,8,7.15,EA
N325800,57,344098,1020001,24,9.36,EA
N325800,58,205907,1020002,60,9.55,EA
N325800,59,498591,1020006,24,9.81,EA
N325800,60,391476,1021000,100,9.10,EA
N325800,61,575435,1030010,24,19.59,EA
N325800,62,766563,1030020,120,19.52,EA
N325800,63,974628,1030030,100,18.19,EA
N325800,64,482554,1040100,40,8.67,EA
N325800,65,270555,1040200,60,8.60,EA
N325800,66,488162,1050010,60,14.32,EA
N325800,67,472528,1050020,96,14.18,EA
N325800,68,319684,1060050,100,6.70,EA
N325800,69,802729,1060100,120,9.67,EA
N325800,70,379946,1070010,24,3.27,EA
